Stock Name,Symbol,Lot Size,Sector Name,Industry Name,MCap Category,Close,Chg %,Cumulative Future OI,OI Chg %,Volume (Times),Delivery (Times),Cumulative Call OI,Cumulative Put OI,Put Call Ratio (PCR),PCR Change 1D,OI Trend,Symbol with Comma for External Upload,%DlyQttoTradedQty,Date,Rollover
Gujarat Gas Ltd.,GUJGASLTD,1250.0,Gas Transmission,Gas Transmission/Marketing,Mid Cap,569.45,3.28,7827500.0,14.75,2.98,2.43,4080000.0,2328750.0,0.57,-0.44,AggressiveNewLong,"GUJGASLTD,",26.63,2024-06-03,0
Container Corporation Of India Ltd.,CONCOR,1000.0,Logistics,Logistics,Mid Cap,1174.25,9.25,9266000.0,-14.13,3.68,2.81,3888000.0,2418000.0,0.62,-0.04,AggressiveShortCover,"CONCOR,",39.79,2024-06-03,0
PI Industries Ltd.,PIIND,250.0,Chemicals,Pesticides & Agrochemicals,Mid Cap,3645.75,3.0,1346500.0,13.13,0.81,0.6,239250.0,182000.0,0.76,-0.19,NewLong,"PIIND,",41.57,2024-06-03,0
Power Grid Corporation Of India Ltd.,POWERGRID,3600.0,Power,Power Generation/Distribution,Large Cap,337.65,8.92,61164000.0,-11.81,2.75,2.48,28076400.0,14997600.0,0.53,-0.14,AggressiveShortCover,"POWERGRID,",53.45,2024-06-03,0
Hindustan Copper Ltd.,HINDCOPPER,2650.0,Non - Ferrous Metals,Metal - Non Ferrous,Small Cap,370.5,4.1,35022400.0,11.69,1.11,0.94,8090450.0,5625950.0,0.7,-0.11,NewLong,"HINDCOPPER,",37.04,2024-06-03,0
MRF Ltd.,MRF,5.0,Automobile & Ancillaries,Tyres & Allied,Mid Cap,126970.4,1.23,51960.0,11.48,1.75,2.36,5565.0,3295.0,0.59,-0.1,AggressiveNewLong,"MRF,",53.15,2024-06-03,0
Persistent Systems Ltd.,PERSISTENT,200.0,Information Technology,IT - Software,Mid Cap,3425.85,0.45,2592400.0,11.17,1.21,1.41,632200.0,383800.0,0.61,-0.07,AggressiveNewLong,"PERSISTENT,",48.77,2024-06-03,0
Multi Commodity Exchange Of India Ltd.,MCX,200.0,Finance,Finance - Stock Broking,Small Cap,3647.3,0.44,2849600.0,10.75,1.93,3.52,893200.0,524600.0,0.59,-0.05,AggressiveNewLong,"MCX,",55.17,2024-06-03,0
Mphasis Ltd.,MPHASIS,275.0,Information Technology,IT - Software,Mid Cap,2289.95,0.26,2376825.0,10.5,1.12,0.72,546700.0,311850.0,0.57,-0.03,NewLong,"MPHASIS,",26.93,2024-06-03,0
Zee Entertainment Enterprises Ltd.,ZEEL,3000.0,Media & Entertainment,TV Broadcasting & Software Production,Mid Cap,156.3,4.97,144552000.0,9.07,1.54,1.36,22035000.0,12573000.0,0.57,-0.06,AggressiveNewLong,"ZEEL,",38.77,2024-06-03,0
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS,400.0,Logistics,Port,Large Cap,1583.95,10.2,35436800.0,-8.78,4.77,4.22,14724800.0,11542000.0,0.78,0.04,AggressiveShortCover,"ADANIPORTS,",36.19,2024-06-03,0
Cummins India Ltd.,CUMMINSIND,300.0,Automobile & Ancillaries,Diesel Engines,Mid Cap,3712.25,4.53,5179500.0,-8.68,0.59,0.63,1233900.0,696900.0,0.56,0.08,ShortCover,"CUMMINSIND,",46.53,2024-06-03,0
HDFC Asset Management Company Ltd.,HDFCAMC,150.0,Finance,Finance - Asset Management,Mid Cap,4090.2,5.3,2871450.0,8.67,2.07,2.15,488400.0,335850.0,0.69,0.11,AggressiveNewLong,"HDFCAMC,",46.3,2024-06-03,0
Info Edge (India) Ltd.,NAUKRI,150.0,Information Technology,BPO/ITeS,Mid Cap,5715.4,0.32,1605750.0,8.63,1.0,1.08,400800.0,207000.0,0.52,-0.13,NewLong,"NAUKRI,",63.83,2024-06-03,0
Siemens Ltd.,SIEMENS,150.0,Capital Goods,Electric Equipment,Large Cap,7274.0,4.39,1620600.0,8.53,1.4,1.41,251700.0,237300.0,0.94,-0.07,AggressiveNewLong,"SIEMENS,",60.93,2024-06-03,0
